Player,Position,TEAM,GP,MIN,PTS,FG%,3P%,FT%,AST,BLK,STL,REB,TOV,Salary
Seth Curry,SG,DAL,59,1448,742,50,45.3,84.1,119,8,36,139,60,7461380
Doug McDermott,SF,IND,62,1242,643,49.1,44.5,82.7,70,4,9,156,40,7333333
Langston Galloway,SG,DET,66,1702,677,43.5,39.9,85.9,101,11,48,149,40,7333333
Brandon Ingram,SF,NOP,56,1918,1358,46.6,38.7,85.8,241,37,56,350,174,7265485
D.J. Augustin,PG,ORL,49,1215,511,39.3,34.5,88.5,223,1,30,109,69,7250000
De'Andre Hunter,PG,ATL,63,2018,778,41,35.5,76.4,112,18,44,286,103,7068360
Josh Jackson,SF,MEM,18,357,188,43.9,31.9,65.9,31,9,18,58,25,7059480
Davis Bertans,SF,WAS,54,1583,834,43.4,42.4,85.2,92,33,37,245,59,7000000
Ersan Ilyasova,PF,MIL,56,896,382,47.2,37.1,82.7,47,14,23,276,33,7000000
Jaren Jackson Jr.,PF,MEM,54,1512,914,46.8,39.7,74.1,76,87,36,254,94,6927480
Nemanja Bjelica,PF,SAC,64,1821,759,47.5,42.4,82.2,179,33,54,412,92,6825000
Jaylen Brown,SG,BOS,50,1702,1022,49,38.1,73.6,109,16,56,318,116,6534829
Darius Garland,PG,CLE,59,1824,728,40.1,35.5,87.5,229,4,42,111,151,6400920
De'Aaron Fox,PG,SAC,45,1426,920,47.5,30.7,70.3,304,23,64,181,141,6392760
Montrezl Harrell,PF,LAC,63,1749,1173,58,0,65.8,107,72,39,445,108,6000000
Marco Belinelli,SG,SAS,52,779,301,39.1,36.8,78,64,1,10,90,16,5846154
Jarrett Culver,PG,MIN,63,1506,580,40.4,29.9,46.2,110,38,57,212,81,5813640
Jonathan Isaac,PF,ORL,32,949,384,46.3,33,76.7,44,78,50,222,47,5806440
Rodney Hood,SG,POR,21,619,230,50.6,49.3,77.8,32,4,17,72,19,5718000
Mo Bamba,C,ORL,60,868,332,46.8,35.6,67.4,42,85,22,299,42,5697600
Trey Lyles,PF,SAS,63,1271,404,44.6,38.7,73.3,69,28,28,361,39,5500000
Aron Baynes,C,PHX,42,934,481,48,35.1,74.7,67,23,10,237,50,5453280
Kris Dunn,PG,CHI,51,1269,373,44.4,25.9,74.1,173,17,101,186,68,5348007
Lauri Markkanen,PF,CHI,50,1492,737,42.5,34.4,82.4,74,23,42,313,81,5300400
Wendell Carter Jr.,PF,CHI,43,1256,484,53.4,20.7,73.7,51,36,33,405,72,5201400
Jaxson Hayes,PF,NOP,56,951,420,66,25,63,51,53,23,223,41,4862040
Buddy Hield,SG,SAC,64,2045,1268,42.9,39.5,85.5,197,17,60,306,150,4861208
